candidateName,chamber,district,partyDescr,gen_receipts,pri_receipts,tot_receipts,tot_expenditures,tot_cash_on_hand,reports_filed,last_report_end_date,scrape_date
"Sullivan, Katie",House,89,Democrat,1096.2,1140.0,2236.2,1140.0,1096.2,5,05/14/2020,2020-05-21
"Keogh, Connie",House,91,Democrat,120.0,5925.0,6045.0,3078.39,2966.61,5,05/14/2020,2020-05-21
"Hamlett, Bradley  M",House,23,Democrat,0.0,890.0,890.0,170.0,720.0,3,05/15/2020,2020-05-21
"Root, Ian",House,71,Democrat,1100.0,0.0,1100.0,2.0,1098.0,3,05/14/2020,2020-05-21
"Price, Scott  D",Senate,25,Republican,4000.0,0.0,4000.0,1081.8600000000001,2918.14,2,04/15/2020,2020-05-21
"Bessette, Barbara",House,24,Democrat,2680.0,0.0,2680.0,488.36,2191.64,3,05/17/2020,2020-05-21
"Mahlum, Doug",House,10,Republican,606.0,11885.2,12491.2,8368.04,4123.16,6,05/17/2020,2020-05-21
"Hileman, Dakota  L",House,96,Democrat,0.0,355.0,355.0,339.08,15.92,2,04/15/2020,2020-05-21
"Horn, Jaime  A",House,21,Democrat,0.0,0.0,0.0,0.0,0.0,1,03/28/2020,2020-05-21
"Brown, Robert  J",Senate,07,Republican,1895.0,0.0,1895.0,275.0,1620.0,3,05/20/2020,2020-05-21
"Ellsworth, Kyle",House,85,Republican,0.0,1520.0,1520.0,1235.0,285.0,2,04/20/2020,2020-05-21
"Leach, Robert  L.",House,81,Republican,0.0,0.0,0.0,0.0,0.0,3,05/15/2020,2020-05-21
"Crum, Jolene",House,65,Republican,0.0,0.0,0.0,0.0,0.0,3,05/19/2020,2020-05-21
"France, Tom",House,94,Democrat,0.0,13142.0,13142.0,12142.419999999998,999.58,3,05/18/2020,2020-05-21
"Mercer, Bill",House,46,Republican,1265.0,0.0,1265.0,492.25,772.75,3,05/14/2020,2020-05-21
"Knudsen, Rhonda",House,34,Republican,0.0,4210.0,4210.0,3818.6,391.4,5,05/15/2020,2020-05-21
"Tschida, Bradley  E",House,97,Republican,1460.0,0.0,1460.0,0.0,1460.0,2,04/20/2020,2020-05-21
"Marshall, Ron  L",House,87,Republican,0.0,3000.0,3000.0,1943.9,1056.1,6,05/14/2020,2020-05-21
"Noland, Mark  R.",House,10,Republican,0.0,10410.0,10410.0,10070.57,339.43,3,05/15/2020,2020-05-21
"Binkley, Michele  R.",House,85,Republican,0.0,6154.6900000000005,6154.6900000000005,5599.5599999999995,555.13,4,04/19/2020,2020-05-21
"Wanberg, Bethanie  C",House,91,Republican,0.0,0.0,0.0,0.0,0.0,3,05/19/2020,2020-05-21
"Owens, Catherine  L",House,05,Republican,0.0,1495.0,1495.0,2329.03,-834.03,2,04/30/2020,2020-05-21
"Minjares, Carol  J",House,100,Republican,0.0,0.0,0.0,0.0,0.0,3,05/15/2020,2020-05-21
"Allen, Jennifer",House,10,Democrat,4557.98,0.0,4557.98,2212.65,2345.33,3,05/15/2020,2020-05-21
"Hinds, Colleen  M",House,13,Democrat,440.0,0.0,440.0,165.0,275.0,3,05/14/2020,2020-05-21
"Kerns, Scot",House,23,Republican,0.0,1713.31,1713.31,1077.33,635.98,3,05/21/2020,2020-05-21
"Gorski, Margaret  J",Senate,44,Democrat,0.0,3504.6,3504.6,1464.15,2040.45,3,05/14/2020,2020-05-21
"Fern, David  B",House,05,Democrat,4755.0,0.0,4755.0,2310.91,2444.09,4,05/15/2020,2020-05-21
"Schuster, Tracy  J",House,34,Republican,0.0,225.0,225.0,107.74,117.26,2,04/15/2020,2020-05-21
"Small, Jason",Senate,21,Republican,0.0,1941.0,1941.0,757.88,1092.12,3,05/14/2020,2020-05-21
"Hume, Sashin  A",House,87,Republican,0.0,798.0,798.0,1137.72,-339.72,4,05/15/2020,2020-05-21
"Read, Joseph  l",House,93,Republican,0.0,265.0,265.0,43.28,221.72,2,04/20/2020,2020-05-21
"Beard, Becky",House,80,Republican,0.0,1100.0,1100.0,313.5,786.5,5,05/15/2020,2020-05-21
"Herak, Bryher",House,75,Democrat,0.0,2891.0,2891.0,402.19,2488.81,4,05/19/2020,2020-05-21
"Garner, Frank",House,07,Republican,0.0,11325.0,11325.0,9681.19,1643.81,5,05/14/2020,2020-05-21
"Regier, Matt",House,04,Republican,460.0,1070.0,1530.0,521.52,1008.48,3,05/14/2020,2020-05-21
"Dodd, Jeni",Senate,10,Republican,0.0,1165.0,1165.0,442.28000000000003,722.72,3,05/14/2020,2020-05-21
"Poe, Hollis",House,85,Republican,0.0,3519.0,3519.0,3338.19,180.81,6,05/14/2020,2020-05-21
"Vinton, Susanne  E.",House,56,Republican,1180.0,0.0,1180.0,0.0,1180.0,4,05/14/2020,2020-05-21
"Olson, Hannah  G",House,52,Democrat,5495.0,0.0,5495.0,3708.1899999999996,1786.81,5,05/15/2020,2020-05-21
"Jones, Llew",House,18,Republican,660.0,7375.0,8035.0,5520.610000000001,2514.39,6,05/15/2020,2020-05-21
"Hill, Edward  E.",House,28,Republican,1555.0,0.0,1555.0,414.0,1141.0,3,05/15/2020,2020-05-21
"Gay, Chase  P",Senate,47,Democrat,2590.0,0.0,2590.0,91.35,2498.65,3,05/15/2020,2020-05-21
"Quist, Guthrie  W",Senate,03,Democrat,1685.0,0.0,1685.0,567.23,1117.77,3,05/15/2020,2020-05-21
"Abbott, Kim",House,83,Democrat,2295.0,0.0,2295.0,339.91,1955.09,3,05/15/2020,2020-05-21
"Scanlin, Elizabeth (Betsy)",House,58,Democrat,5556.8,0.0,5556.8,2076.8500000000004,3479.95,3,05/14/2020,2020-05-21
"Jackson, Jon  R",House,84,Democrat,0.0,15.0,15.0,0.0,15.0,3,05/14/2020,2020-05-21
"Armerding, Richard  L",House,98,Libertarian,0.0,600.0,600.0,333.34000000000003,266.66,3,05/15/2020,2020-05-21
"Cuvillier, Gerald  J.",Senate,07,Democrat,0.0,15.0,15.0,0.0,15.0,3,05/14/2020,2020-05-21
"Bugli, Jolena",House,87,Republican,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
