candidateName,chamber,district,partyDescr,gen_receipts,pri_receipts,tot_receipts,tot_expenditures,tot_cash_on_hand,reports_filed,last_report_end_date,scrape_date
"Reksten, Linda  E",House,12,Republican,0.0,2709.0,2709.0,1679.72,1029.28,4,05/15/2020,2020-05-21
"Hayman, Denise",House,66,Democrat,0.0,0.0,0.0,0.0,0.0,3,05/20/2020,2020-05-21
"Kirk-Boon, Dee",House,11,Republican,200.10000000000002,8300.0,8500.1,6812.6,1687.5,6,05/14/2020,2020-05-21
"Chamberlin, Randall",House,64,Republican,140.0,14100.0,14240.0,12332.25,1907.75,4,05/20/2020,2020-05-21
"Stromswold, Mallerie",House,50,Republican,180.0,8150.0,8330.0,5099.35,3230.65,5,05/14/2020,2020-05-21
"Holmlund, Kenneth  L",House,38,Republican,6460.0,0.0,6460.0,3511.64,2948.36,3,05/14/2020,2020-05-21
"McLean, Jim",House,94,Democrat,0.0,7865.0,7865.0,3960.56,3904.44,3,05/14/2020,2020-05-21
"Sweeney, Mark  A",Senate,39,Democrat,360.0,8365.0,8725.0,6109.57,2615.43,1,05/21/2020,2020-05-21
"DAWSON, REBECCA  L",House,95,Republican,0.0,1015.0,1015.0,1010.0,5.0,3,05/14/2020,2020-05-21
"Gross, Jen",Senate,25,Democrat,3820.0,159.0,3979.0,398.28000000000003,3580.72,5,04/15/2020,2020-05-21
"Running Wolf, Tyson  T",House,16,Democrat,0.0,0.0,0.0,0.0,0.0,3,05/20/2020,2020-05-21
"Wendt, Francis  V",House,62,Libertarian,0.0,0.0,0.0,0.0,0.0,2,04/15/2020,2020-05-21
"Tankink, Rudolf  L",House,26,Republican,0.0,500.0,500.0,0.0,500.0,3,05/15/2020,2020-05-21
"Siate, Erica  C",Senate,45,Democrat,0.0,2130.96,2130.96,1179.21,951.75,3,05/15/2020,2020-05-21
"Krotkov, Jasmine  A",House,25,Democrat,0.0,6368.88,6368.88,973.2,5395.68,4,05/15/2020,2020-05-21
"Knudsen, Casey  J",House,33,Republican,220.0,4825.0,5045.0,2015.0,3030.0,7,05/20/2020,2020-05-21
"Pavlock, Lisa",House,93,Democrat,3770.0,0.0,3770.0,50.0,3705.65,4,06/02/2020,2020-05-21
"Taylor, Jasmine",House,22,Democrat,0.0,2585.0,2585.0,36.0,2549.0,2,04/20/2020,2020-05-21
"Lynch, Ryan",Senate,37,Democrat,1915.0,0.0,1915.0,0.0,1915.0,4,05/20/2020,2020-05-21
"Regier, Keith",Senate,03,Republican,1885.0,3220.0,5105.0,3171.94,1933.06,5,05/15/2020,2020-05-21
"Close, Brian  F",House,61,Democrat,0.0,8901.0,8901.0,8761.06,139.94,3,05/15/2020,2020-05-21
"Vandevender, Ron",House,80,Libertarian,0.0,60.0,60.0,25.95,34.05,1,05/16/2020,2020-05-21
"Trebas, Jeremy",House,26,Republican,180.0,920.0,1100.0,284.54,815.46,3,04/20/2020,2020-05-21
"Stone, Joyce  A",House,33,Republican,0.0,8077.41,8077.41,4989.77,3087.64,5,05/14/2020,2020-05-21
"Benes, Melody  A",House,43,Libertarian,180.0,0.0,180.0,0.0,180.0,3,05/20/2020,2020-05-21
"Custer, Geraldine",House,39,Republican,20.0,5514.55,5534.55,4615.35,919.2,6,05/15/2020,2020-05-21
"Farris-Olsen, Robert",House,79,Democrat,0.0,9035.0,9035.0,7964.48,1070.52,6,05/21/2020,2020-05-21
"Campbell, Colette  K",House,67,Democrat,4426.0,0.0,4426.0,260.55,4165.45,3,05/15/2020,2020-05-21
"Dunwell, Mary Ann",House,84,Democrat,0.0,5615.0,5615.0,681.96,4933.04,5,05/14/2020,2020-05-21
"Whiteman-Pena, Rynalea",House,41,Democrat,0.0,0.0,0.0,0.0,0.0,3,05/14/2020,2020-05-21
"keane, jim",House,73,Democrat,560.0,660.0,1220.0,0.0,1220.0,3,05/19/2020,2020-05-21
"Fox, Michael  D",Senate,16,Democrat,0.0,0.0,0.0,0.0,0.0,1,03/15/2020,2020-05-21
"Frazer, Gregory  L",House,78,Republican,50.0,0.0,50.0,0.0,50.0,2,04/20/2020,2020-05-21
"O'Connor, Joshua-Luke",Senate,31,Libertarian,0.0,0.0,0.0,0.0,0.0,3,05/16/2020,2020-05-21
"McClafferty, Edith  L",Senate,38,Democrat,4975.0,0.0,4975.0,1134.35,3840.65,3,05/20/2020,2020-05-21
"Spanjian, Kristin  A",House,40,Democrat,10215.0,180.0,10395.0,2357.06,8037.94,3,05/15/2020,2020-05-21
"Browder, Thomas  M",House,92,Democrat,0.0,6880.0,6880.0,5947.87,932.13,4,05/14/2020,2020-05-21
"Sardot, Niki",Senate,46,Republican,73.0,0.0,73.0,0.0,73.0,1,05/15/2020,2020-05-21
"hawk, donavon  d",House,76,Democrat,0.0,9575.15,9575.15,6384.280000000001,3187.89,4,05/15/2020,2020-05-21
"Gunderson, Steve",House,01,Republican,1200.0,0.0,1200.0,0.0,1200.0,3,05/15/2020,2020-05-21
"Osmundson, Ryan",Senate,15,Republican,0.0,2760.1,2760.1,585.0,2175.1,7,05/20/2020,2020-05-21
"McCaffery, Marjory",House,73,Republican,0.0,0.0,0.0,0.0,0.0,3,05/15/2020,2020-05-21
"Gray, Alexander  D",Senate,46,Democrat,0.0,4590.0,4590.0,3490.51,979.49,6,05/15/2020,2020-05-21
"Kortum, Kelly",House,65,Democrat,0.0,11246.8,11246.8,4688.65,6558.15,4,05/14/2020,2020-05-21
"Vandevender, Mikaila",House,80,Libertarian,0.0,0.0,0.0,0.0,0.0,1,07/05/2019,2020-05-21
"Hertz, Greg",Senate,06,Republican,8150.0,180.0,8330.0,2633.89,5696.11,5,05/15/2020,2020-05-21
"Anderson, Fred  I",House,20,Republican,0.0,5500.0,5500.0,1975.95,3524.05,6,05/20/2020,2020-05-21
"Nunnally, norman  a",Senate,02,Republican,0.0,1726.28,1726.28,1275.77,284.51,5,05/18/2020,2020-05-21
"Sather, Marvin  C",House,01,Democrat,4535.0,0.0,4535.0,515.3199999999999,4019.68,3,05/15/2020,2020-05-21
"Ricci, Vince  J",House,55,Republican,0.0,2900.0,2900.0,1138.26,1761.74,4,05/14/2020,2020-05-21
"Steinmetz, Krystal",House,28,Democrat,6399.0,0.0,6399.0,894.4599999999999,5504.54,3,05/15/2020,2020-05-21
"Guymon, Shawn",House,05,Republican,0.0,0.0,0.0,0.0,0.0,0,none,2020-05-21
"Glimm, Carl  C",Senate,02,Republican,0.0,7090.0,7090.0,5980.25,1109.75,3,05/19/2020,2020-05-21
"McLean, Scott Roy",House,88,Republican,1090.0,3375.2,4465.2,2577.6,1887.6,5,05/20/2020,2020-05-21
"Friedel, Christopher  P",Senate,26,Republican,280.0,3075.0,3355.0,852.7,2502.3,3,05/20/2020,2020-05-21
"Seekins-Crowe, Kerri",House,43,Republican,4655.0,0.0,4655.0,2313.54,2341.46,5,05/15/2020,2020-05-21
"Usher, Barry",House,40,Republican,360.0,720.0,1080.0,179.95,900.05,3,05/15/2020,2020-05-21
"Ramesz, Lori  L",House,02,Democrat,1170.0,100.0,1270.0,1073.0,197.0,3,05/14/2020,2020-05-21
"Moore, Frederick",House,37,Republican,0.0,14665.0,14665.0,14221.11,443.89,3,05/14/2020,2020-05-21
"Burda, Benjamin  J",Senate,45,Democrat,0.0,100.0,100.0,53.0,47.0,2,04/28/2020,2020-05-11
"Stiles, Cade  B",House,13,Libertarian,0.0,870.79,870.79,870.79,0.0,3,05/14/2020,2020-05-21
"Hamilton, James  A",House,61,Democrat,170.0,13645.0,13815.0,9678.82,4136.18,4,05/15/2020,2020-05-21
"Peregoy, Sharon  S",House,42,Democrat,280.0,0.0,280.0,0.0,280.0,3,05/20/2020,2020-05-21
